Full_Name,SSN,Birth_Date,Age,Gender,Total_Charge,Diagnosis
Emily Reyes,431-76-8999,11/29/1939,77,Female,1248.07,S0047
Timothy Foster,105-21-8417,2/20/1948,69,Male,760.45,S0047
Jennifer Crawford,469-03-7869,12/28/1940,76,Female,1203.37,M0847
Edward Torres,219-09-8205,8/21/2014,3,Male,32.45,S0047
Gary Miller,365-39-1269,3/8/1954,63,Male,1934.87,S0047
Margaret Hamilton,395-24-7531,3/30/1983,34,Female,1043.36,S0047
Joan Holmes,402-29-7993,2/10/2010,7,Female,743.5,S0047
Gregory Mcdonald,365-17-4904,12/17/1984,32,Male,1935.4,X9647
Bobby Washington,814-67-3459,11/23/1981,35,Male,1425.93,E1037
Carol Hicks,524-42-4664,4/15/2011,6,Female,969.61,S0047
Ashley George,732-60-4910,10/30/2005,11,Female,1369.38,C4490
Julia Owens,922-27-2080,5/20/1998,19,Female,346.85,T2117
Richard Ruiz,294-84-3773,9/6/2012,5,Male,401.74,H0242
Debra Simpson,423-91-7401,8/9/1978,39,Female,413.96,S0047
Stephen Clark,910-18-2779,1/14/1974,43,Male,206.23,Y0703
Emily Collins,789-99-0255,12/2/1983,33,Female,1314.54,T2117
Jack Griffin,825-87-2360,4/21/1981,36,Male,555.44,S0047
Jose Perkins,946-09-5160,5/25/1989,28,Male,739.8,H0242
Larry Jordan,647-03-2952,8/19/1957,60,Male,1680.72,S0047
Mark Morgan,733-17-5916,8/29/1972,45,Male,1573.03,T2117
Randy Cunningham,563-63-4224,10/17/1943,74,Male,1271.2,S0047
Ann Sanchez,128-35-7368,4/7/1944,73,Female,1575.74,A3790
David Reed,982-56-5386,11/14/1948,68,Male,1426.49,H0242
Janet Simpson,874-65-8496,7/6/1976,41,Female,377.26,H0242
Joshua Simpson,101-83-7827,7/24/1940,77,Male,1914.57,M0847
Phyllis Mendoza,186-93-4465,12/31/1996,20,Female,128.47,S0047
Bonnie James,458-21-4845,4/17/1999,18,Female,1365.12,S0047
Gloria Burke,408-49-2238,2/22/1954,63,Female,748.39,M0847
Johnny Brown,749-26-4365,11/27/2005,11,Male,1820.48,T2117
Roger Frazier,117-90-1826,2/4/1986,31,Male,233.12,O0989
Brenda Hawkins,269-65-5490,1/25/1972,45,Female,757.98,S0047
Terry Webb,868-20-7873,3/17/2015,2,Male,1606.13,M0847
Dennis Freeman,910-48-0328,3/19/1955,62,Male,418,T2117
Mary Cooper,683-86-5722,7/8/1940,77,Female,696.16,R1934
Nicholas Wheeler,194-83-8917,1/13/2012,5,Male,1308.15,S0047
Marilyn Reid,194-59-7812,7/31/1961,56,Female,634.86,S0047
Diana Rivera,603-51-0437,1/15/2003,14,Female,972.51,S0047
Laura Fowler,861-95-7559,6/21/1992,25,Female,411.24,V0401
Teresa Welch,460-94-2964,7/18/1976,41,Female,1415.66,S0047
Beverly Stanley,571-56-6526,5/12/1982,35,Female,242.21,T2117
Edward Stone,405-98-5842,11/22/2000,16,Male,892.16,S0047
Kenneth Butler,620-22-7562,11/13/1949,67,Male,1402.04,C4490
Katherine Duncan,660-80-9376,6/17/1970,47,Female,1881.33,S0047
Ryan Sanchez,566-32-6602,1/6/1948,69,Male,897.9,S0047
Martin Turner,602-06-9749,11/4/1960,56,Male,988.37,H0242
Irene Diaz,742-54-3773,11/11/1995,21,Female,1678.41,S0047
Patrick Davis,612-49-0002,4/30/1947,70,Male,1019.86,V0401
Kathleen Hill,828-80-4381,11/25/1979,37,Female,498,T2117
Justin Adams,727-28-6708,8/19/1942,75,Male,460.92,S0047
Lisa Perez,921-00-8100,5/1/1984,33,Female,1799.15,O0989
Paula Foster,119-02-4602,7/10/1952,65,Female,1055.55,T2117
Denise Mccoy,659-96-6259,12/2/1943,73,Female,1554.2,S0047
Eric Smith,337-03-1930,5/21/1978,39,Male,845.31,T2117
Philip Stephens,115-42-4686,5/3/1972,45,Male,1528.25,S0047
Jessica Morgan,437-39-6178,8/29/1967,50,Female,30.72,M0847
Joshua Carroll,920-11-9008,4/22/1995,22,Male,1591.02,T2117
Diana Lopez,645-47-4772,7/1/1961,56,Female,1972.05,S0047
Willie Brown,902-02-7232,3/8/1956,61,Male,1039.73,S0047
Gerald Williams,238-13-1463,10/26/2012,4,Male,1039.25,T2117
Lisa Hart,448-28-7129,4/9/1980,37,Female,429.57,S0047
Maria Gonzales,825-88-2808,10/18/2010,6,Female,287.24,X9647
Clarence Meyer,852-39-6076,3/7/2012,5,Male,1216.17,C4490
Joyce Webb,382-40-3206,4/27/1983,34,Female,1928.32,S0047
Roy Fox,916-71-6533,5/27/1996,21,Male,1073.09,S0047
Charles Diaz,460-80-9960,10/12/1938,79,Male,656.28,X9647
Virginia Gordon,888-94-5450,6/6/1987,30,Female,571.84,S0047
Kathleen Bradley,872-09-4128,12/9/1973,43,Female,405.59,V0401
Chris Bowman,175-39-0914,6/9/1956,61,Male,747.1,S0047
Edward Mason,969-95-4581,7/22/1974,43,Male,520.9,T2117
Walter Black,898-43-6429,10/26/1962,54,Male,668.46,T2117
Bruce Wheeler,438-80-2828,2/6/1998,19,Male,70.72,S0047
Willie Mendoza,920-52-6388,4/5/1959,58,Male,1604.41,V0401
Marie Stevens,666-14-6867,6/30/1977,40,Female,1326.55,S0047
George Wagner,482-86-1860,4/5/2003,14,Male,634.21,H0242
Brian Dixon,485-00-5460,7/23/1975,42,Male,41.1,S0047
Kevin Reyes,532-65-7023,10/30/1982,34,Male,430.45,C4490
Norma Mitchell,275-49-7800,4/2/1953,64,Female,1159.8,S0047
Mildred Ford,393-97-3789,12/23/1947,69,Female,525.28,T2117
Jonathan Hudson,211-30-7035,6/11/1977,40,Male,1767.74,C4490
Stephen Vasquez,310-99-9338,9/3/2001,16,Male,1146.61,T2117
Ashley Ortiz,824-60-3869,4/9/1997,20,Female,1881.82,N6089
Eugene Reynolds,753-99-1618,4/1/1951,66,Male,422.27,M0847
